i: 0	j: 0	distance: 0.169309
i: 1	j: 5	distance: 2.11661
i: 2	j: 3	distance: 0.258323
i: 3	j: 4	distance: 0.0941656
i: 4	j: 1	distance: 0.262159
i: 5	j: 2	distance: 0.382325
i: 6	j: 13	distance: 1.61821
i: 7	j: 8	distance: 2.30044
i: 8	j: 14	distance: 0.345351
i: 9	j: 12	distance: 0.118827
i: 10	j: 9	distance: 1.28279
i: 11	j: 6	distance: 0.32031
i: 12	j: 11	distance: 13.8942
i: 13	j: 10	distance: 0.198418
i: 14	j: 17	distance: 0.288265
i: 15	j: 7	distance: 0.0290955
i: 16	j: 15	distance: 1.35568
i: 17	j: 16	distance: 0.246999
i: 18	j: 14	distance: 79.9158
i: 19	j: 7	distance: 80.1796
